recipients,donors,transconjugants,segregadas,adaptations_number,cycle
939976,9529,469,26,0,6315452
939567,9606,808,19,0,9396766
939210,9626,1135,29,0,12384630
938948,9644,1379,29,0,15374324
938575,9753,1643,29,0,18371909
938279,9811,1886,24,0,21370893
937815,10015,2142,28,0,24362802
937470,9987,2509,34,0,27340371
936975,10146,2837,42,0,30332064
936592,10257,3123,28,0,33332835
936171,10357,3457,15,0,36329384
935737,10533,3712,18,0,39324869
935313,10683,3978,26,0,42320754
935095,10754,4129,22,0,45309097
934641,10868,4461,30,0,48309048
934071,11060,4828,41,0,51306719
933694,11285,4982,39,0,54298717
933198,11511,5249,42,0,57294960
932700,11794,5468,38,0,60296969
932186,11975,5788,51,0,63298264
931652,12321,5954,73,0,66299096
931300,12360,6258,82,0,69302112
931017,12542,6344,97,0,72301438
930503,12811,6573,113,0,75300353
930097,13048,6749,106,0,78305444
929733,13182,6978,107,0,81301187
929163,13483,7255,99,0,84309213
928740,13877,7287,96,0,87303282
928024,14200,7647,129,0,90302966
927529,14347,8022,102,0,93312605
926811,14626,8435,128,0,96307226
926345,14735,8769,151,0,99312597
925669,14955,9233,143,0,102305238
925150,15114,9580,156,0,105294595
924562,15503,9804,131,0,108297702
923970,15773,10122,135,0,111297519
923448,16065,10352,135,0,114297549
923035,16261,10580,124,0,117300451
922574,16578,10711,137,0,120310153
922039,16779,11026,156,0,123318026
921437,17074,11333,156,0,126341811
920951,17404,11470,175,0,129346219
920234,17807,11763,196,0,132355751
919612,18189,11988,211,0,135367959
919047,18323,12412,218,0,138370251
918502,18701,12561,236,0,141380437
917803,19052,12896,249,0,144377153
917165,19247,13365,223,0,147371056
916514,19746,13514,226,0,150371805
916210,20095,13465,230,0,153388600
915602,20357,13807,234,0,156399502
915202,20719,13831,248,0,159406990
914505,21109,14133,253,0,162418399
913560,21589,14586,265,0,165439833
912942,22026,14758,274,0,168448642
912469,22390,14838,303,0,171445509
911639,22886,15176,299,0,174448807
911067,23259,15377,297,0,177456395
910153,24035,15518,294,0,180456768
909425,24609,15660,306,0,183462638
908942,25155,15614,289,0,186470257
907836,25554,16293,317,0,189483591
907297,26043,16333,327,0,192489957
906501,26448,16695,356,0,195494863
905740,26852,17015,393,0,198499516
905118,27262,17177,443,0,201498859
904415,27820,17304,461,0,204508604
903780,28341,17418,461,0,207515237
903071,28865,17646,418,0,210523854
902010,29568,18025,397,0,213526899
901369,29962,18271,398,0,216529879
900524,30723,18374,379,0,219539386
899534,31241,18841,384,0,222550339
899024,31487,19125,364,0,225556496
898367,31947,19292,394,0,228556210
897536,32735,19315,414,0,231565808
896717,33220,19619,444,0,234572495
895880,33957,19735,428,0,237583269
895102,34536,19906,456,0,240581037
894488,35218,19857,437,0,243578155
893729,35815,19983,473,0,246585689
892968,36612,19932,488,0,249592206
892300,37090,20100,510,0,252612801
891396,37753,20329,522,0,255623506
890798,38452,20250,500,0,258621903
889804,39221,20485,490,0,261623081
888777,39857,20899,467,0,264630172
887627,40575,21377,421,0,267638108
886837,41138,21596,429,0,270636420
885906,41900,21754,440,0,273643560
884964,42678,21884,474,0,276645362
883881,43534,22125,460,0,279644666
883060,44274,22242,424,0,282657609
881666,45049,22800,485,0,285653201
880625,45854,23012,509,0,288668445
879510,46774,23179,537,0,291692238
878954,47484,23057,505,0,294699899
878017,48176,23273,534,0,297717599
876769,49116,23595,520,0,300728256
875880,49860,23762,498,0,303756464
874773,50732,23958,537,0,306764307
873714,51610,24118,558,0,309785020
872476,52485,24462,577,0,312803089
871626,53239,24576,559,0,315810903
870624,53966,24828,582,0,318822413
869453,55001,24958,588,0,321833332
868585,55949,24856,610,0,324852191
867425,56937,25036,602,0,327877170
866402,57726,25234,638,0,330879583
865373,58500,25456,671,0,333899156
864600,59346,25389,665,0,336906799
863533,60173,25639,655,0,339911726
862615,60975,25747,663,0,342925689
861380,61738,26198,684,0,345950269
860384,62550,26339,727,0,348962117
859458,63517,26306,719,0,351978024
858337,64411,26519,733,0,354991474
857257,65169,26853,721,0,358007208
856268,65866,27112,754,0,361037200
854802,66911,27453,834,0,364052951
853726,67748,27654,872,0,367058510
852249,69040,27821,890,0,370063118
851126,69929,28076,869,0,373078239
849842,70984,28292,882,0,376096100
848351,72093,28691,865,0,379112038
847154,72936,29024,886,0,382119625
846245,73749,29156,850,0,385129154
845008,74766,29335,891,0,388150088
843922,75671,29524,883,0,391158658
842731,76967,29412,890,0,394171110
841447,78054,29639,860,0,397188907
840094,79261,29763,882,0,400191359
838821,80200,30089,890,0,403207081
837646,81276,30226,852,0,406228897
836552,82649,30001,798,0,409251109
835274,83795,30089,842,0,412270280
834193,84758,30223,826,0,415285499
832854,85931,30447,768,0,418308235
831416,87071,30676,837,0,421319279
830037,88144,31011,808,0,424342998
828802,89232,31184,782,0,427362036
827611,90285,31317,787,0,430372969
826235,91525,31415,825,0,433384628
825117,92589,31515,779,0,436391808
823877,93722,31654,747,0,439413742
822753,94820,31634,793,0,442432639
821686,96041,31471,802,0,445447780
820549,97060,31551,840,0,448456026
819405,98309,31401,885,0,451482530
818253,99447,31383,917,0,454507493
817158,100668,31293,881,0,457525629
815662,101984,31462,892,0,460538076
814326,103025,31785,864,0,463558475
813056,104162,31903,879,0,466566913
811604,105398,32145,853,0,469591834
810413,106546,32147,894,0,472602205
808676,107890,32475,959,0,475612137
807198,109209,32654,939,0,478627547
805708,110558,32785,949,0,481639840
804229,111869,32950,952,0,484661925
802989,113011,32992,1008,0,487684708
