recipients,donors,transconjugants,segregadas,adaptations_number,cycle
461056,477348,9790,1806,0,6274387
453585,479758,14702,1955,0,9386300
446166,482507,19238,2089,0,12425084
439442,485897,22506,2155,0,15461987
431154,491135,25570,2141,0,18521131
423686,496587,27573,2154,0,21583090
415932,502086,29723,2259,0,24646878
407659,508582,31440,2319,0,27709627
400035,514965,32684,2316,0,30776974
391992,521909,33715,2384,0,33860466
383679,529195,34673,2453,0,36941936
375747,536453,35154,2646,0,40027625
368220,543449,35699,2632,0,43111990
359974,551268,36243,2515,0,46197891
352057,558891,36468,2584,0,49277819
344710,566650,36141,2499,0,52356474
336702,574369,36343,2586,0,55434776
328555,582318,36439,2688,0,58519991
320851,589966,36345,2838,0,61614139
312608,598248,36262,2882,0,64694101
304937,606042,36090,2931,0,67789436
297450,613600,36032,2918,0,70876169
290498,620994,35448,3060,0,73961933
284050,628036,34875,3039,0,77034318
277670,635038,34271,3021,0,80110694
271088,642033,33862,3017,0,83181498
263881,649788,33234,3097,0,86255980
257407,656442,33111,3040,0,89337948
250715,663821,32491,2973,0,92417950
244115,671070,31964,2851,0,95496433
236680,678701,31665,2954,0,98571765
230595,685114,31420,2871,0,101642771
224108,692179,30783,2930,0,104712421
217416,699214,30482,2888,0,107785973
210630,706509,29922,2939,0,110867214
204349,713446,29286,2919,0,113931563
198104,719990,28932,2974,0,116998880
192103,726490,28380,3027,0,120074057
186492,732708,27912,2888,0,123139982
180362,739280,27483,2875,0,126216925
174915,745274,26792,3019,0,129284950
168695,751582,26539,3184,0,132356205
163368,757384,26117,3131,0,135429129
157962,763512,25495,3031,0,138487545
152893,769233,24825,3049,0,141529267
147930,774643,24294,3133,0,144595930
143117,780208,23667,3008,0,147642296
138121,785655,23151,3073,0,150686237
133370,791104,22466,3060,0,153734650
128842,796379,21864,2915,0,156787076
124141,801495,21420,2944,0,159836395
120043,806040,21056,2861,0,162887137
115952,810686,20552,2810,0,165932995
111288,815698,20223,2791,0,168980624
107192,820261,19793,2754,0,172014140
103056,824852,19340,2752,0,175058157
99123,829444,18710,2723,0,178102344
94968,834167,18062,2803,0,181137674
91014,838444,17678,2864,0,184175254
87599,842592,17051,2758,0,187203715
