recipients,donors,transconjugants,segregadas,adaptations_number,cycle
949125,867,4,4,0,6332829
949148,831,4,17,0,9417310
949130,836,11,23,0,12413946
949177,794,7,22,0,15400348
949144,817,10,29,0,18379938
949162,799,16,23,0,21378408
949186,766,15,33,0,24377685
949228,728,10,34,0,27373800
949251,710,12,27,0,30365774
949279,686,16,19,0,33364832
949311,656,12,21,0,36364865
949341,619,9,31,0,39349733
949363,591,14,32,0,42343607
949360,591,7,42,0,45329435
949396,551,8,45,0,48320963
949406,535,11,48,0,51314059
949455,463,14,68,0,54317415
949497,435,14,54,0,57302067
949517,404,17,62,0,60296829
949547,384,15,54,0,63295237
949585,363,8,44,0,66295275
949576,363,7,54,0,69286865
949594,335,11,60,0,72291766
949623,314,7,56,0,75296992
949610,337,3,50,0,78287367
949609,341,4,46,0,81273318
949619,326,9,46,0,84262110
949616,324,11,49,0,87252049
949616,316,15,53,0,90238792
949612,326,16,46,0,93243292
949614,322,18,46,0,96238775
949590,348,11,51,0,99231776
949588,355,10,47,0,102233735
949596,363,6,35,0,105237930
949610,358,6,26,0,108220901
949621,347,6,26,0,111211823
949611,361,6,22,0,114207315
949628,339,4,29,0,117191469
949644,316,7,33,0,120184363
949677,277,12,34,0,123181659
949672,286,7,35,0,126181930
949680,269,11,40,0,129182660
949687,265,16,32,0,132174776
949715,246,6,33,0,135172006
949718,242,5,35,0,138164308
949717,249,6,28,0,141155577
949735,243,5,17,0,144150222
949760,211,2,27,0,147149812
949758,217,6,19,0,150147511
949771,196,7,26,0,153138965
949805,177,5,13,0,156145252
949792,186,7,15,0,159143675
949798,179,8,15,0,162131938
949784,184,11,21,0,165119899
949795,180,3,22,0,168118071
949810,162,4,24,0,171115235
949802,165,7,26,0,174104827
949794,168,3,35,0,177099251
949785,183,3,29,0,180087617
949767,196,4,33,0,183079169
949771,196,4,29,0,186080269
949789,185,3,23,0,189076254
949776,193,4,27,0,192078345
949784,190,2,24,0,195085587
949785,175,3,37,0,198076892
949805,158,1,36,0,201067847
949802,153,6,39,0,204053559
949792,159,5,44,0,207039676
949793,164,5,38,0,210033620
949808,154,5,33,0,213019976
949794,163,7,36,0,216019028
949810,147,8,35,0,219010115
949815,148,10,27,0,222009103
949824,133,8,35,0,225009973
949842,112,9,37,0,228020554
949853,110,8,29,0,231014939
949858,118,5,19,0,234003920
949865,113,4,18,0,237005487
949870,117,1,12,0,239997065
949858,126,4,12,0,242991502
949861,111,13,15,0,245986743
949851,109,22,18,0,248980843
949863,100,15,22,0,251979835
949866,96,13,25,0,254968437
949862,96,9,33,0,257964618
949858,101,6,35,0,260955778
949860,106,5,29,0,263952646
949867,100,2,31,0,266945338
949886,83,0,31,0,269922355
949901,72,0,27,0,272914079
949904,66,0,30,0,275916241
949912,66,0,22,0,278901653
949914,61,0,25,0,281897731
949924,58,0,18,0,284885173
949917,69,0,14,0,287880422
949915,70,0,15,0,290875075
949912,74,0,14,0,293862833
949919,63,0,18,0,296858103
949914,68,0,18,0,299853086
949900,71,2,27,0,302839038
949914,63,2,21,0,305823050
949907,76,2,15,0,308825202
949904,81,2,13,0,311818427
949909,78,1,12,0,314809095
949924,66,0,10,0,317798587
949916,73,0,11,0,320799017
949916,76,0,8,0,323794301
949925,59,0,16,0,326795792
949937,55,1,7,0,329796012
949942,48,2,8,0,332788780
949941,44,7,8,0,335792414
949955,34,3,8,0,338784099
949961,33,2,4,0,341790322
949962,32,2,4,0,344786241
949965,26,2,7,0,347783126
949968,27,3,2,0,350782535
949979,18,3,0,0,353785490
949983,16,1,0,0,356775252
949986,13,1,0,0,359773621
949988,12,0,0,0,362766046
949991,9,0,0,0,365773529
949976,23,1,0,0,368766085
949982,17,1,0,0,371756111
949991,9,0,0,0,374743072
949989,11,0,0,0,377731906
949994,6,0,0,0,380725147
949993,5,2,0,0,383725435
949990,6,4,0,0,386715949
949989,9,2,0,0,389693641
949988,9,3,0,0,392694595
949993,6,1,0,0,395675692
949995,4,1,0,0,398664757
949994,5,1,0,0,401657391
949995,5,0,0,0,404650988
949994,6,0,0,0,407647880
949996,4,0,0,0,410640022
949995,5,0,0,0,413628137
949995,5,0,0,0,416628158
949995,5,0,0,0,419620477
949991,9,0,0,0,422605637
950000,0,0,0,0,425611360
