recipients,donors,transconjugants,segregadas,adaptations_number,cycle
9462,935494,768,4276,0,6982218
9163,935267,1051,4519,0,10402462
8941,935156,1371,4532,0,13738210
8804,934959,1667,4570,0,17063878
8541,935151,1873,4435,0,20392206
8342,935369,1938,4351,0,23721247
8198,935509,1960,4333,0,27052362
7990,935607,2096,4307,0,30379769
7678,935955,2254,4113,0,33718096
7636,936017,2220,4127,0,37056536
7490,936282,2260,3968,0,40384290
7248,936543,2294,3915,0,43723622
7005,936921,2325,3749,0,47066180
6766,937089,2415,3730,0,50387794
6598,937459,2360,3583,0,53726305
6254,937856,2425,3465,0,57056306
6123,938096,2328,3453,0,60399659
5927,938308,2347,3418,0,63727793
5622,938569,2318,3491,0,67061372
5454,938855,2218,3473,0,70390051
5268,938945,2310,3477,0,73714485
5153,939108,2217,3522,0,77034011
5152,939303,2143,3402,0,80371640
5017,939298,2219,3466,0,83682385
4824,939706,2170,3300,0,87021308
4632,939929,2146,3293,0,90355265
4392,940348,2032,3228,0,93688778
4209,940471,2081,3239,0,97008597
3973,940846,2006,3175,0,100322327
3723,941114,1943,3220,0,103645273
3616,941214,1965,3205,0,106968898
3440,941481,1932,3147,0,110296649
3349,941684,1855,3112,0,113624213
3212,941867,1861,3060,0,116942218
3083,942220,1768,2929,0,120287269
2995,942478,1685,2842,0,123620644
2799,942679,1693,2829,0,126962573
2671,942808,1638,2883,0,130290243
2561,942948,1606,2885,0,133626050
2430,943185,1564,2821,0,136964673
2233,943397,1566,2804,0,140294505
2154,943467,1492,2887,0,143621476
2052,943457,1460,3031,0,146955056
1950,943707,1384,2959,0,150290959
1835,943791,1381,2993,0,153619394
1822,943807,1375,2996,0,156932827
1734,943945,1373,2948,0,160269715
1581,944128,1333,2958,0,163597391
1467,944240,1306,2987,0,166916889
1395,944430,1261,2914,0,170242696
1293,944469,1317,2921,0,173557066
1250,944629,1203,2918,0,176888812
1141,944786,1206,2867,0,180215079
1093,944725,1166,3016,0,183542392
1005,944947,1190,2858,0,186862752
913,945178,1136,2773,0,190192759
879,945218,1134,2769,0,193517625
852,945231,1110,2807,0,196844143
