recipients,donors,transconjugants,segregadas,adaptations_number,cycle
942327,7541,42,90,0,6286305
942355,7473,72,100,0,9347064
942464,7366,74,96,0,12354192
942613,7219,66,102,0,15356603
942618,7194,77,111,0,18351153
942802,6988,79,131,0,21366860
942852,6907,105,136,0,24367173
943067,6670,116,147,0,27363645
943326,6425,100,149,0,30366669
943528,6201,108,163,0,33373533
943844,5896,103,157,0,36365499
943850,5855,110,185,0,39369042
943968,5752,89,191,0,42358673
944210,5472,112,206,0,45356579
944326,5339,122,213,0,48359681
944594,5093,117,196,0,51354469
944669,5014,111,206,0,54349305
944739,4910,103,248,0,57343377
944922,4693,117,268,0,60335210
944937,4672,89,302,0,63336473
945119,4469,86,326,0,66328072
945158,4402,101,339,0,69323447
945358,4240,77,325,0,72312467
945369,4205,93,333,0,75299925
945409,4137,101,353,0,78299132
945505,4008,95,392,0,81297215
945585,3944,80,391,0,84296395
945666,3870,64,400,0,87285576
945792,3734,84,390,0,90278428
945944,3591,67,398,0,93275149
946056,3463,81,400,0,96267788
946103,3417,86,394,0,99265973
946221,3303,78,398,0,102258460
946398,3130,81,391,0,105243049
946404,3126,68,402,0,108232048
946460,3074,56,410,0,111219673
946488,3027,49,436,0,114226405
946575,2928,53,444,0,117219128
946677,2803,61,459,0,120226348
946798,2624,70,508,0,123218042
947015,2424,71,490,0,126204967
947145,2315,87,453,0,129200624
947195,2272,89,444,0,132192767
947217,2276,64,443,0,135178747
947394,2149,59,398,0,138178550
947444,2065,49,442,0,141159017
947473,2039,40,448,0,144158173
947527,1948,62,463,0,147155374
947573,1897,66,464,0,150152377
947642,1813,67,478,0,153159979
947715,1748,60,477,0,156156719
947712,1724,65,499,0,159158619
947809,1612,71,508,0,162144317
947762,1622,62,554,0,165136284
947847,1542,51,560,0,168128456
947877,1503,38,582,0,171122614
947951,1414,27,608,0,174116222
948023,1341,32,604,0,177116752
948091,1286,32,591,0,180095084
948031,1335,30,604,0,183083242
948026,1334,22,618,0,186085566
948079,1250,23,648,0,189084813
948114,1181,34,671,0,192076538
948149,1162,37,652,0,195070840
948177,1159,44,620,0,198071142
948207,1128,52,613,0,201054582
948264,1072,46,618,0,204046393
948263,1050,41,646,0,207026453
948276,1017,29,678,0,210031029
948287,996,30,687,0,213024615
948355,945,21,679,0,216016266
948395,907,17,681,0,219008537
948447,880,16,657,0,222005905
948423,872,15,690,0,225007414
948484,829,14,673,0,228013364
948539,804,12,645,0,231010289
948548,787,19,646,0,234006485
948557,740,25,678,0,236986247
948580,725,18,677,0,239974809
948611,709,21,659,0,242974871
948684,650,26,640,0,245964788
948759,604,12,625,0,248964093
948763,589,10,638,0,251948267
948802,576,6,616,0,254940307
948837,541,9,613,0,257937556
948853,533,12,602,0,260942060
948884,507,17,592,0,263932161
948914,495,6,585,0,266921987
948957,443,4,596,0,269916091
948951,448,7,594,0,272917676
948979,431,8,582,0,275912875
948987,384,4,625,0,278921570
949012,359,7,622,0,281904748
949022,345,2,631,0,284910852
949075,309,3,613,0,287908705
949057,334,6,603,0,290905316
949028,356,9,607,0,293909488
948992,358,14,636,0,296897480
949001,370,11,618,0,299898859
949038,360,6,596,0,302884802
949040,348,6,606,0,305877530
949076,329,9,586,0,308868205
949118,294,6,582,0,311869026
949147,265,8,580,0,314861465
949177,245,4,574,0,317868085
949156,251,3,590,0,320861039
949179,226,5,590,0,323860109
949193,206,7,594,0,326853102
949217,224,9,550,0,329846326
949202,249,7,542,0,332845539
949195,261,6,538,0,335834805
949204,264,4,528,0,338820435
949161,280,6,553,0,341815661
949142,276,7,575,0,344799258
949147,278,4,571,0,347788098
949193,265,5,537,0,350781185
949209,249,6,536,0,353765639
949230,259,4,507,0,356755123
949191,286,4,519,0,359749580
949187,266,6,541,0,362741363
949222,245,9,524,0,365736075
949242,251,10,497,0,368701786
949269,215,10,506,0,371700250
949268,228,3,501,0,374683913
949270,227,1,502,0,377679341
949310,194,3,493,0,380679659
949352,176,2,470,0,383680104
949325,160,3,512,0,386665722
949291,170,6,533,0,389660966
949287,175,1,537,0,392653619
949284,163,4,549,0,395659834
949337,160,4,499,0,398647469
949333,138,2,527,0,401640408
949330,146,0,524,0,404634956
949351,152,1,496,0,407608348
949376,164,1,459,0,410618061
949354,146,0,500,0,413604374
949373,133,2,492,0,416607134
949378,126,0,496,0,419605802
949398,124,1,477,0,422605902
949404,129,5,462,0,425592551
949357,146,4,493,0,428593846
949409,119,2,470,0,431596446
949385,108,1,506,0,434589188
949375,96,0,529,0,437596651
949378,96,0,526,0,440604628
949364,82,1,553,0,443599107
949371,80,3,546,0,446593252
949369,84,2,545,0,449588830
949379,71,3,547,0,452587630
949405,62,0,533,0,455578228
949422,60,1,517,0,458560366
949446,51,1,502,0,461559283
949463,36,0,501,0,464557726
949472,27,0,501,0,467555685
949487,26,0,487,0,470547986
949460,28,0,512,0,473543434
949472,37,0,491,0,476528755
949463,29,0,508,0,479532894
949427,30,0,543,0,482512562
949414,28,1,557,0,485503422
949383,24,1,592,0,488507328
949390,22,0,588,0,491505189
949374,24,0,602,0,494502595
949406,16,0,578,0,497496504
949400,9,0,591,0,500498762
949425,6,0,569,0,503489640
949441,5,0,554,0,506470184
949438,6,2,554,0,509466417
949421,6,1,572,0,512458723
949406,7,1,586,0,515455305
949373,8,0,619,0,518459081
949364,5,0,631,0,521448330
949348,3,0,649,0,524432203
949364,0,0,636,0,527417756
