recipients,donors,transconjugants,segregadas,adaptations_number,cycle
943163,6762,45,30,0,6304681
943322,6575,61,42,0,9382594
943401,6494,68,37,0,12374138
943574,6305,77,44,0,15366526
943762,6126,75,37,0,18362234
943868,6014,74,44,0,21355978
944002,5859,92,47,0,24353510
944214,5631,104,51,0,27343997
944289,5535,116,60,0,30350037
944438,5365,134,63,0,33340174
944567,5243,119,71,0,36331431
944749,5048,129,74,0,39328975
944867,4925,131,77,0,42321238
944967,4835,117,81,0,45325056
945093,4720,105,82,0,48326959
945154,4652,98,96,0,51308691
945177,4639,84,100,0,54310551
945309,4532,85,74,0,57301792
945453,4380,93,74,0,60297189
945603,4202,102,93,0,63298877
945744,4071,90,95,0,66285040
945859,3961,90,90,0,69286382
945934,3883,88,95,0,72279165
946059,3762,86,93,0,75279806
946123,3682,92,103,0,78280960
946342,3470,78,110,0,81285000
946512,3310,60,118,0,84282411
946660,3153,62,125,0,87284209
946742,3064,67,127,0,90278160
946813,2986,75,126,0,93274812
946743,3064,72,121,0,96277435
946903,2893,74,130,0,99281785
946993,2770,82,155,0,102283406
947012,2732,94,162,0,105281178
947018,2737,67,178,0,108278716
947114,2632,72,182,0,111275338
947240,2485,70,205,0,114274878
947311,2417,61,211,0,117277986
947341,2393,60,206,0,120277073
947249,2461,62,228,0,123277343
947346,2358,51,245,0,126280889
947430,2312,52,206,0,129281639
947480,2274,46,200,0,132265676
947572,2183,35,210,0,135258936
947639,2098,41,222,0,138251730
947785,1976,34,205,0,141257868
947779,1966,34,221,0,144255689
947812,1927,50,211,0,147269487
947911,1838,39,212,0,150258398
947981,1760,36,223,0,153265467
947962,1773,38,227,0,156254549
948041,1703,34,222,0,159241781
948051,1685,39,225,0,162241282
948070,1679,49,202,0,165234951
948127,1608,45,220,0,168218917
948204,1552,36,208,0,171213075
948277,1489,47,187,0,174205427
948265,1508,37,190,0,177196904
948269,1469,45,217,0,180199992
948379,1341,50,230,0,183189363
948414,1304,53,229,0,186186490
948480,1242,50,228,0,189185330
948521,1179,52,248,0,192182445
948608,1066,48,278,0,195177414
948613,1034,50,303,0,198169459
948681,968,42,309,0,201160943
948757,928,32,283,0,204151246
948741,945,34,280,0,207147467
948774,927,28,271,0,210148842
948810,901,28,261,0,213140304
948898,810,33,259,0,216138228
948940,778,36,246,0,219124756
948910,835,28,227,0,222108682
949004,752,23,221,0,225106848
948970,783,21,226,0,228109144
949002,754,16,228,0,231104070
948973,771,15,241,0,234095332
949006,712,12,270,0,237086909
949033,688,15,264,0,240074988
949056,651,11,282,0,243058119
949079,620,9,292,0,246052490
949143,552,6,299,0,249032975
949158,526,7,309,0,252024371
949184,488,8,320,0,255016191
949187,472,18,323,0,258012561
949208,462,10,320,0,261008896
949245,443,11,301,0,264007455
949220,466,8,306,0,266994920
949243,432,7,318,0,269995893
949285,399,4,312,0,272978387
949312,371,7,310,0,275969223
949282,380,7,331,0,278962443
949256,407,5,332,0,281962653
949281,381,11,327,0,284959200
949259,394,10,337,0,287953527
949301,368,11,320,0,290944912
949290,393,11,306,0,293938299
949316,395,9,280,0,296923603
949330,370,11,289,0,299937387
949337,369,8,286,0,302929046
