"recipients","donors","transconjugants","segregadas","adaptations_number","cycle"
"151",948459,1490,29,22,0,455439502
"152",948438,1499,36,27,0,458439085
"153",948433,1501,39,27,0,461429040
"154",948397,1533,45,25,0,464428602
"155",948405,1528,38,29,0,467422815
"156",948419,1530,31,20,0,470416296
"157",948386,1553,32,29,0,473407707
"158",948407,1536,27,30,0,476396882
"159",948390,1547,28,35,0,479394397
"160",948382,1536,37,45,0,482397580
"161",948385,1549,32,34,0,485396088
"162",948414,1516,32,38,0,488396808
"163",948429,1498,31,42,0,491395809
"164",948431,1493,23,53,0,494386131
"165",948446,1452,25,77,0,497386053
"166",948436,1467,22,75,0,500376622
"167",948418,1468,39,75,0,503364645
"168",948409,1488,31,72,0,506347985
"169",948427,1475,36,62,0,509346936
"170",948440,1452,54,54,0,512340691
"171",948414,1490,39,57,0,515329421
"172",948384,1518,36,62,0,518332108
"173",948334,1571,37,58,0,521334254
"174",948281,1606,42,71,0,524325540
"175",948311,1577,38,74,0,527309964
"176",948251,1627,40,82,0,530293008
"177",948263,1591,49,97,0,533292360
"178",948289,1552,52,107,0,536294120
"179",948292,1559,49,100,0,539284081
"180",948318,1523,47,112,0,542278649
"181",948319,1509,45,127,0,545271103
"182",948329,1485,54,132,0,548260718
"183",948302,1509,56,133,0,551256816
"184",948393,1433,39,135,0,554240844
"185",948373,1452,38,137,0,557219516
"186",948366,1483,31,120,0,560209325
"187",948364,1473,25,138,0,563201428
"188",948396,1447,19,138,0,566198370
"189",948399,1441,22,138,0,569185757
"190",948360,1482,23,135,0,572187505
"191",948338,1487,33,142,0,575185938
"192",948336,1497,32,135,0,578176043
"193",948362,1460,30,148,0,581170430
"194",948308,1492,23,177,0,584158347
"195",948319,1499,21,161,0,587148320
"196",948313,1502,26,159,0,590140135
"197",948258,1539,26,177,0,593145966
"198",948298,1522,20,160,0,596148984
"199",948255,1542,30,173,0,599150958
"200",948264,1548,26,162,0,602132576
"201",948282,1525,22,171,0,605126767
"202",948310,1510,27,153,0,608119559
"203",948331,1493,18,158,0,611106114
"204",948308,1499,20,173,0,614110306
"205",948217,1572,19,192,0,617121353
"206",948183,1592,18,207,0,620117488
"207",948127,1605,32,236,0,623104495
"208",948142,1589,40,229,0,626109132
"209",948207,1531,32,230,0,629110671
"210",948223,1516,29,232,0,632092527
"211",948215,1519,33,233,0,635089478
"212",948219,1515,48,218,0,638078495
"213",948139,1584,52,225,0,641074852
"214",948163,1546,62,229,0,644064986
"215",948219,1488,60,233,0,647057718
"216",948167,1533,54,246,0,650051451
"217",948101,1598,51,250,0,653056473
"218",948140,1578,49,233,0,656046341
"219",948162,1557,51,230,0,659028499
"220",948253,1492,55,200,0,662019440
"221",948188,1523,45,244,0,665016498
"222",948189,1534,49,228,0,668000191
"223",948222,1526,39,213,0,670986818
"224",948242,1511,47,200,0,673972805
"225",948220,1548,44,188,0,676963040
"226",948208,1571,45,176,0,679958575
"227",948187,1601,33,179,0,682962364
"228",948221,1568,36,175,0,685948528
"229",948182,1576,36,206,0,688935789
"230",948211,1563,37,189,0,691927515
"231",948136,1627,38,199,0,694924150
"232",948118,1651,34,197,0,697917085
"233",948090,1652,33,225,0,700923740
"234",948093,1627,55,225,0,703922322
"235",948107,1618,39,236,0,706907685
"236",948089,1631,32,248,0,709902168
"237",948064,1655,31,250,0,712896183
"238",948074,1636,31,259,0,715894178
"239",948047,1651,40,262,0,718881494
"240",948062,1655,33,250,0,721870308
"241",948062,1638,37,263,0,724867922
"242",948007,1700,30,263,0,727862175
"243",947931,1742,37,290,0,730843375
"244",947954,1742,39,265,0,733845569
"245",947895,1819,31,255,0,736837493
"246",947939,1772,27,262,0,739832194
"247",947961,1772,37,230,0,742825450
"248",948003,1737,33,227,0,745820627
"249",948039,1709,27,225,0,748819057
"250",948014,1705,37,244,0,751817035
"251",947997,1717,32,254,0,754811561
"252",948002,1687,32,279,0,757809302
"253",948044,1638,32,286,0,760815187
"254",948070,1589,34,307,0,763803683
"255",948084,1610,21,285,0,766797260
"256",948084,1625,20,271,0,769799969
"257",948089,1606,26,279,0,772784717
"258",947981,1672,36,311,0,775780543
"259",947994,1648,48,310,0,778779733
"260",948000,1639,46,315,0,781764874
"261",948012,1610,49,329,0,784765728
"262",948011,1577,47,365,0,787763221
"263",947957,1612,35,396,0,790743991
"264",947919,1635,42,404,0,793749315
"265",947929,1633,45,393,0,796747246
"266",947948,1633,50,369,0,799737087
"267",947963,1600,53,384,0,802723956
"268",947930,1620,46,404,0,805714813
"269",947888,1660,56,396,0,808705340
"270",947850,1704,43,403,0,811691902
"271",947843,1716,43,398,0,814681229
"272",947798,1744,40,418,0,817680273
"273",947803,1751,40,406,0,820673657
"274",947785,1742,46,427,0,823663746
"275",947806,1737,57,400,0,826660047
"276",947761,1808,65,366,0,829653845
"277",947711,1854,68,367,0,832653628
"278",947658,1903,65,374,0,835643460
"279",947675,1911,64,350,0,838632933
"280",947692,1890,66,352,0,841629139
"281",947723,1879,49,349,0,844625185
"282",947676,1927,50,347,0,847611047
"283",947652,1936,48,364,0,850594113
"284",947668,1922,36,374,0,853593943
"285",947709,1886,51,354,0,856591315
"286",947726,1895,39,340,0,859580595
"287",947724,1916,31,329,0,862581476
"288",947748,1896,18,338,0,865565279
"289",947762,1870,22,346,0,868555844
"290",947711,1925,28,336,0,871548834
"291",947732,1918,29,321,0,874541237
"292",947695,1943,37,325,0,877545186
"293",947685,1941,38,336,0,880533061
"294",947703,1923,38,336,0,883533268
"295",947656,1990,43,311,0,886531463
"296",947701,1980,47,272,0,889522831
"297",947721,1955,54,270,0,892508115
"298",947734,1962,48,256,0,895505568
