"recipients","donors","transconjugants","segregadas","adaptations_number","cycle"
"1",949293,699,7,1,0,6351521
"2",949306,679,11,4,0,9440180
"3",949296,691,3,10,0,12447030
"4",949301,688,3,8,0,15452616
"5",949315,668,2,15,0,18444369
"6",949313,668,3,16,0,21442121
"7",949307,672,5,16,0,24432908
"8",949338,642,8,12,0,27424880
"9",949338,631,13,18,0,30423120
"10",949310,659,11,20,0,33419982
"11",949298,673,14,15,0,36413899
"12",949307,662,15,16,0,39411404
"13",949328,647,14,11,0,42412893
"14",949325,645,19,11,0,45409830
"15",949336,621,24,19,0,48408748
"16",949303,655,14,28,0,51405903
"17",949285,657,18,40,0,54402420
"18",949289,659,19,33,0,57395968
"19",949311,650,17,22,0,60387930
"20",949293,671,16,20,0,63392001
"21",949301,661,19,19,0,66397230
"22",949302,658,22,18,0,69409765
"23",949287,666,25,22,0,72408623
"24",949284,679,19,18,0,75394453
"25",949312,654,19,15,0,78379935
"26",949310,658,16,16,0,81362785
"27",949325,641,16,18,0,84337112
"28",949312,655,18,15,0,87326129
"29",949325,640,13,22,0,90320530
"30",949296,667,14,23,0,93311264
"31",949318,644,13,25,0,96309872
"32",949318,638,17,27,0,99299040
"33",949318,639,19,24,0,102293153
"34",949296,655,18,31,0,105282546
"35",949304,654,22,20,0,108277575
"36",949267,684,20,29,0,111258362
"37",949225,726,21,28,0,114258739
"38",949241,714,17,28,0,117256854
"39",949247,711,13,29,0,120245105
"40",949219,742,12,27,0,123234592
"41",949203,747,25,25,0,126219722
"42",949190,761,23,26,0,129217821
"43",949230,737,18,15,0,132210955
"44",949232,735,20,13,0,135210126
"45",949228,731,28,13,0,138209136
"46",949132,811,37,20,0,141194953
"47",949148,806,30,16,0,144187992
"48",949138,821,29,12,0,147188734
"49",949135,827,26,12,0,150184734
"50",949145,822,25,8,0,153168820
"51",949162,810,20,8,0,156161512
"52",949139,836,12,13,0,159154142
"53",949104,862,17,17,0,162139517
"54",949066,900,22,12,0,165140990
"55",949051,910,23,16,0,168128005
"56",949047,915,24,14,0,171122447
"57",949023,948,16,13,0,174115128
"58",949048,930,15,7,0,177111558
"59",949063,914,21,2,0,180100226
"60",949027,953,20,0,0,183093797
"61",949024,957,18,1,0,186090315
"62",948994,992,13,1,0,189083641
"63",948980,1004,13,3,0,192071212
"64",949025,956,17,2,0,195056212
"65",949035,933,25,7,0,198049550
"66",949019,948,25,8,0,201049136
"67",949009,943,33,15,0,204042203
"68",949007,946,30,17,0,207043498
"69",949038,924,22,16,0,210041381
"70",949003,961,24,12,0,213029785
"71",948966,992,24,18,0,216025437
"72",948887,1067,33,13,0,219019155
"73",948858,1090,32,20,0,222015340
"74",948796,1142,40,22,0,225014024
"75",948845,1107,34,14,0,228024542
"76",948792,1146,41,21,0,231023810
"77",948791,1145,43,21,0,234010522
"78",948832,1116,38,14,0,236997502
"79",948823,1130,33,14,0,239990585
"80",948791,1158,33,18,0,242983936
"81",948740,1195,50,15,0,245983103
"82",948743,1204,43,10,0,248996711
"83",948761,1187,42,10,0,251996425
"84",948718,1214,52,16,0,254975710
"85",948741,1190,54,15,0,257966226
"86",948803,1148,38,11,0,260969534
"87",948796,1159,34,11,0,263957090
"88",948827,1134,26,13,0,266966323
"89",948876,1084,25,15,0,269965151
"90",948847,1114,22,17,0,272969677
"91",948882,1090,16,12,0,275976431
"92",948874,1091,17,18,0,278986245
"93",948879,1084,22,15,0,281983333
"94",948825,1131,19,25,0,284972389
