"recipients","donors","transconjugants","segregadas","adaptations_number","cycle"
"167",946663,3136,56,145,0,503619341
"168",946655,3129,58,158,0,506610860
"169",946604,3157,64,175,0,509608932
"170",946534,3234,77,155,0,512603553
"171",946540,3246,73,141,0,515589452
"172",946582,3205,65,148,0,518581156
"173",946625,3179,59,137,0,521573464
"174",946605,3207,46,142,0,524579924
"175",946580,3242,41,137,0,527580356
"176",946600,3199,55,146,0,530583146
"177",946575,3216,64,145,0,533582073
"178",946563,3227,68,142,0,536568991
"179",946597,3191,64,148,0,539558474
"180",946646,3143,66,145,0,542559052
"181",946554,3229,60,157,0,545551105
"182",946576,3192,58,174,0,548542475
"183",946541,3226,57,176,0,551540106
"184",946513,3240,46,201,0,554534115
"185",946506,3240,48,206,0,557526327
"186",946430,3310,58,202,0,560532342
"187",946447,3261,67,225,0,563528008
"188",946446,3259,61,234,0,566522969
"189",946440,3245,66,249,0,569508759
"190",946407,3267,64,262,0,572494392
"191",946371,3308,56,265,0,575485387
"192",946431,3281,41,247,0,578474967
"193",946380,3318,51,251,0,581469908
"194",946357,3318,56,269,0,584459581
"195",946285,3405,53,257,0,587455191
"196",946240,3459,55,246,0,590439170
"197",946287,3430,59,224,0,593432701
"198",946222,3480,60,238,0,596424209
"199",946249,3446,65,240,0,599417591
"200",946254,3454,70,222,0,602419403
"201",946251,3447,86,216,0,605421295
"202",946227,3450,89,234,0,608408250
"203",946198,3495,78,229,0,611398117
"204",946130,3534,84,252,0,614387961
"205",946152,3491,82,275,0,617380047
"206",946201,3442,75,282,0,620362824
"207",946227,3417,82,274,0,623356348
"208",946199,3441,88,272,0,626343895
"209",946215,3425,80,280,0,629340283
"210",946274,3360,65,301,0,632337048
"211",946229,3377,66,328,0,635324428
"212",946240,3398,56,306,0,638312817
"213",946167,3432,77,324,0,641310956
"214",946194,3424,61,321,0,644300863
"215",946177,3434,70,319,0,647292560
"216",946148,3452,83,317,0,650287694
"217",946168,3445,96,291,0,653279828
"218",946125,3461,93,321,0,656278801
"219",946154,3426,106,314,0,659276827
"220",946148,3445,91,316,0,662264209
"221",946098,3486,109,307,0,665252780
"222",946101,3492,96,311,0,668236298
"223",946088,3506,95,311,0,671230629
"224",946044,3569,80,307,0,674214873
"225",946013,3598,74,315,0,677224737
"226",945992,3599,68,341,0,680230217
"227",946053,3576,58,313,0,683224352
"228",946009,3595,59,337,0,686223748
"229",946091,3523,55,331,0,689225314
"230",946096,3528,64,312,0,692224633
"231",945961,3655,73,311,0,695212541
"232",945904,3695,77,324,0,698200509
"233",945856,3719,78,347,0,701192533
"234",945839,3765,68,328,0,704194944
"235",945844,3776,62,318,0,707188124
"236",945811,3806,74,309,0,710183026
"237",945749,3836,99,316,0,713179873
"238",945712,3866,80,342,0,716175894
"239",945624,3946,75,355,0,719176742
"240",945630,3951,75,344,0,722173830
"241",945619,3952,86,343,0,725163757
"242",945560,4011,88,341,0,728154928
"243",945480,4096,67,357,0,731151194
"244",945526,4050,64,360,0,734146084
"245",945461,4088,88,363,0,737149342
"246",945490,4053,88,369,0,740141951
"247",945445,4114,90,351,0,743142760
"248",945382,4140,106,372,0,746137891
"249",945382,4121,97,400,0,749126089
"250",945338,4174,102,386,0,752126387
"251",945367,4165,101,367,0,755133630
"252",945317,4212,95,376,0,758126454
"253",945323,4246,80,351,0,761123545
"254",945323,4244,84,349,0,764121665
"255",945275,4265,90,370,0,767113975
"256",945206,4304,76,414,0,770112109
"257",945205,4317,74,404,0,773107069
"258",945187,4332,65,416,0,776095487
"259",945148,4378,79,395,0,779083497
"260",945195,4344,81,380,0,782069945
"261",945097,4425,92,386,0,785057189
"262",945080,4419,104,397,0,788048703
"263",945114,4390,91,405,0,791044029
"264",945152,4328,101,419,0,794041246
"265",945173,4286,116,425,0,797031829
"266",945183,4321,98,398,0,800022889
"267",945240,4235,97,428,0,803007990
"268",945180,4296,98,426,0,806009044
"269",945211,4288,94,407,0,808992609
"270",945235,4245,98,422,0,811980222
"271",945208,4276,97,419,0,814980199
"272",945169,4259,118,454,0,817962079
"273",945151,4306,113,430,0,820959369
"274",945127,4300,115,458,0,823959255
"275",945215,4278,100,407,0,826955353
"276",945239,4251,109,401,0,829938714
"277",945186,4312,98,404,0,832927868
"278",945063,4387,106,444,0,835931317
"279",945172,4272,99,457,0,838943669
"280",945151,4326,96,427,0,841943203
"281",945094,4365,98,443,0,844935576
"282",945005,4420,96,479,0,847927581
"283",944963,4437,88,512,0,850902572
"284",944892,4469,97,542,0,853908182
"285",944810,4546,101,543,0,856908147
"286",944730,4634,102,534,0,859905530
"287",944731,4639,109,521,0,862905664
"288",944731,4641,113,515,0,865895915
"289",944676,4660,117,547,0,868885886
"290",944604,4740,111,545,0,871873887
"291",944705,4663,105,527,0,874872608
"292",944752,4612,77,559,0,877871652
"293",944696,4639,93,572,0,880859102
"294",944633,4698,95,574,0,883869663
"295",944566,4698,120,616,0,886860460
"296",944544,4742,111,603,0,889849290
"297",944581,4699,112,608,0,892846269
"298",944529,4716,109,646,0,895853196
"299",944542,4701,88,669,0,898845513
"300",944453,4735,100,712,0,901832210
"301",944472,4683,92,753,0,904828038
"302",944530,4660,95,715,0,907812232
"303",944510,4686,111,693,0,910805213
"304",944476,4733,115,676,0,913800790
"305",944533,4695,113,659,0,916793193
"306",944530,4690,124,656,0,919780763
"307",944408,4789,155,648,0,922773905
"308",944371,4842,154,633,0,925765380
"309",944413,4828,142,617,0,928753279
"310",944411,4851,131,607,0,931748004
"311",944429,4857,127,587,0,934738819
"312",944456,4855,134,555,0,937732076
"313",944499,4817,130,554,0,940724800
"314",944531,4794,110,565,0,943711785
"315",944507,4791,106,596,0,946705699
"316",944512,4759,109,620,0,949686985
"317",944553,4712,109,626,0,952684863
"318",944564,4674,108,654,0,955673473
"319",944599,4656,97,648,0,958673214
"320",944621,4613,92,674,0,961668291
"321",944590,4661,71,678,0,964681844
"322",944568,4657,79,696,0,967664625
"323",944539,4672,81,708,0,970660950
"324",944549,4668,78,705,0,973652295
"325",944402,4800,91,707,0,976638743
"326",944292,4858,113,737,0,979639955
"327",944224,4916,119,741,0,982643960
"328",944177,4959,127,737,0,985644050
"329",944105,5068,118,709,0,988629704
"330",944161,5065,108,666,0,991624779
"331",944151,5063,89,697,0,994610319
"332",944052,5180,99,669,0,997610865
"333",944092,5108,118,682,0,1000605589
"334",944101,5123,116,660,0,1003607699
"335",944067,5158,122,653,0,1006601404
"336",944005,5208,132,655,0,1009580429
"337",943981,5227,125,667,0,1012583622
"338",943991,5263,113,633,0,1015577849
"339",943944,5311,105,640,0,1018572027
"340",944030,5208,105,657,0,1021559512
"341",944039,5173,94,694,0,1024551002
"342",943987,5206,106,701,0,1027546339
"343",943993,5153,95,759,0,1030534489
"344",943936,5211,104,749,0,1033511995
"345",943914,5246,103,737,0,1036524076
"346",943899,5301,97,703,0,1039511494
"347",943915,5242,76,767,0,1042507598
"348",943994,5146,76,784,0,1045500006
"349",943869,5287,74,770,0,1048495621
"350",943887,5256,90,767,0,1051482389
"351",943832,5303,108,757,0,1054480470
"352",943870,5239,119,772,0,1057475000
"353",943835,5323,115,727,0,1060467936
"354",943801,5349,113,737,0,1063449584
"355",943801,5344,105,750,0,1066437302
"356",943790,5374,100,736,0,1069430574
"357",943823,5361,79,737,0,1072417920
"358",943721,5433,88,758,0,1075399243
"359",943816,5343,88,753,0,1078399266
"360",943884,5328,76,712,0,1081400709
"361",943819,5404,87,690,0,1084399155
"362",943844,5385,87,684,0,1087401595
"363",943806,5400,102,692,0,1090400221
"364",943727,5467,82,724,0,1093393642
"365",943608,5612,70,710,0,1096376229
"366",943608,5578,77,737,0,1099370089
"367",943508,5636,75,781,0,1102372342
"368",943448,5685,76,791,0,1105366078
"369",943462,5658,67,813,0,1108355382
"370",943461,5657,68,814,0,1111357778
"371",943488,5598,88,826,0,1114354740
"372",943475,5640,79,806,0,1117357392
"373",943352,5749,94,805,0,1120354242
"374",943314,5796,102,788,0,1123338257
"375",943395,5728,98,779,0,1126328300
"376",943364,5788,103,745,0,1129329019
"377",943351,5774,115,760,0,1132326557
"378",943407,5758,115,720,0,1135331958
"379",943337,5830,117,716,0,1138320697
"380",943219,5936,107,738,0,1141315983
"381",943285,5826,131,758,0,1144316015
"382",943329,5806,116,749,0,1147309184
"383",943269,5856,115,760,0,1150308821
"384",943286,5891,106,717,0,1153315415
"385",943345,5860,104,691,0,1156298944
"386",943322,5936,75,667,0,1159301192
"387",943342,5931,82,645,0,1162288429
"388",943448,5842,81,629,0,1165290685
