recipients,donors,transconjugants,segregadas,adaptations_number,cycle
949392,603,5,0,0,6301735
949398,601,1,0,0,9376023
949403,593,4,0,0,12367435
949407,590,3,0,0,15361300
949414,582,4,0,0,18366125
949402,591,6,1,0,21367539
949403,586,8,3,0,24365962
949441,547,8,4,0,27362656
949418,576,5,1,0,30359009
949397,597,5,1,0,33355605
949400,587,10,3,0,36324692
949409,567,20,4,0,39309877
949402,569,23,6,0,42311087
949394,575,23,8,0,45312113
949379,587,26,8,0,48309921
949371,598,20,11,0,51299329
949359,615,18,8,0,54295077
949352,629,13,6,0,57280782
949368,613,18,1,0,60277966
949394,584,20,2,0,63283535
949353,613,25,9,0,66276869
949343,609,35,13,0,69267718
949352,602,31,15,0,72257361
949389,569,27,15,0,75248568
949410,546,31,13,0,78240315
949407,543,36,14,0,81231915
949425,525,41,9,0,84231045
949436,511,39,14,0,87222174
949418,517,47,18,0,90222157
949420,513,46,21,0,93209613
949450,489,33,28,0,96203648
949471,477,26,26,0,99196688
949469,481,24,26,0,102188102
949454,495,25,26,0,105198658
949475,485,14,26,0,108210809
949488,469,20,23,0,111214411
949486,461,27,26,0,114203151
949509,443,25,23,0,117189815
949458,481,28,33,0,120172842
949498,444,27,31,0,123165075
949492,443,37,28,0,126165822
949494,443,34,29,0,129172492
949471,458,40,31,0,132163918
949499,433,41,27,0,135155090
949479,467,33,21,0,138157491
949490,467,27,16,0,141157992
949453,490,32,25,0,144150214
949425,505,38,32,0,147152212
949433,491,47,29,0,150134865
949414,521,46,19,0,153132885
949375,538,63,24,0,156124887
949403,512,63,22,0,159123006
949444,490,55,11,0,162112987
949475,472,44,9,0,165107406
949458,487,42,13,0,168093337
949464,483,42,11,0,171081331
949464,486,44,6,0,174092536
949456,494,47,3,0,177102812
949461,476,63,0,0,180089318
949469,477,54,0,0,183086197
949494,459,47,0,0,186073854
949498,454,48,0,0,189074398
949518,445,37,0,0,192065750
949491,477,32,0,0,195061331
949489,472,39,0,0,198048916
949455,509,36,0,0,201029077
949459,502,38,1,0,204030256
949464,508,28,0,0,207020314
949462,509,29,0,0,210002918
949447,523,30,0,0,213005373
949455,520,25,0,0,215999253
949429,536,35,0,0,218999675
949430,534,36,0,0,221986188
949395,563,42,0,0,224992494
949393,558,49,0,0,227994818
949392,567,41,0,0,230994542
949381,581,38,0,0,233995829
949363,603,33,1,0,236992642
949365,593,38,4,0,239980832
949356,592,49,3,0,242977328
949374,583,37,6,0,245976818
949371,588,35,6,0,248979659
949367,590,40,3,0,251976065
949392,561,42,5,0,254979961
949402,554,33,11,0,257977131
949413,546,28,13,0,260970966
949402,558,27,13,0,263964232
949387,570,30,13,0,266947602
949434,537,21,8,0,269944882
949413,559,18,10,0,272942669
949378,584,29,9,0,275936325
949370,592,29,9,0,278929973
949395,554,44,7,0,281924838
949394,561,37,8,0,284924570
949375,582,37,6,0,287924838
949369,596,31,4,0,290919372
949357,595,45,3,0,293911185
949324,638,33,5,0,296907390
949326,639,28,7,0,299905605
949327,629,33,11,0,302899241
949349,611,25,15,0,305881520
949330,632,26,12,0,308875167
949339,619,34,8,0,311847416
949330,631,33,6,0,314836700
949283,680,32,5,0,317832667
949271,671,52,6,0,320818104
949288,675,32,5,0,323803707
949297,661,35,7,0,326795853
949303,650,38,9,0,329776313
949277,670,47,6,0,332772091
949276,668,52,4,0,335762967
949272,667,56,5,0,338766134
949240,700,55,5,0,341746290
949245,695,57,3,0,344743654
949269,674,57,0,0,347730088
949290,663,47,0,0,350737478
949280,682,38,0,0,353735092
949270,673,57,0,0,356726974
949251,681,68,0,0,359722063
949218,699,83,0,0,362718180
949204,720,76,0,0,365718495
949149,774,77,0,0,368716985
949181,746,71,2,0,371726533
949145,783,72,0,0,374723489
949103,818,78,1,0,377727485
949075,860,64,1,0,380722772
949089,849,60,2,0,383715321
949095,837,67,1,0,386717581
949057,865,77,1,0,389718037
949072,833,94,1,0,392701433
949075,831,90,4,0,395702536
949066,828,101,5,0,398703831
949016,890,91,3,0,401705256
949021,899,80,0,0,404704950
949031,887,81,1,0,407707071
949020,892,88,0,0,410696440
948982,937,79,2,0,413699345
949001,932,64,3,0,416707699
949024,910,60,6,0,419697152
949061,879,54,6,0,422684989
949001,933,63,3,0,425671540
949005,920,74,1,0,428660817
949007,895,97,1,0,431662153
949019,886,95,0,0,434659847
949008,906,84,2,0,437661773
948995,938,64,3,0,440665011
948930,1008,54,8,0,443659461
948898,1042,55,5,0,446646293
948898,1038,56,8,0,449631152
948888,1041,60,11,0,452634954
